"Path","Changed","OldRiffSize","NewRiffSize","OldDataSize","NewDataSize"
"Resources\sounds\sfx\game\units\breach\BreachC4Explode.wav","True","0","82726","0","82688"
"Resources\sounds\sfx\game\units\breach\BreachSpecialAbilityShield.wav","True","0","82726","0","82688"
"Resources\sounds\sfx\game\units\breach\BreachTrigger1.wav","True","0","11174","0","11136"
"Resources\sounds\sfx\game\units\breach\BreachTrigger2.wav","True","0","3366","0","3328"
"Resources\sounds\sfx\game\units\breach\BreachTurretMove.wav","True","0","22182","0","22144"
"Resources\sounds\sfx\game\units\breach\BreachTurretShoot.wav","True","0","44198","0","44160"
"Resources\sounds\sfx\game\units\havoc\Havoc_Death.wav","True","0","108070","0","108032"
"Resources\sounds\sfx\game\units\havoc\Havoc_Engine.wav","True","0","384038","0","384000"
"Resources\sounds\sfx\game\units\havoc\Havoc_Spawn.wav","True","0","192038","0","192000"
"Resources\sounds\sfx\game\units\instinct\Instinct_LaserEnd.wav","True","0","71718","0","71680"
"Resources\sounds\sfx\game\units\instinct\Instinct_LaserHurt.wav","True","0","330790","0","330752"
"Resources\sounds\sfx\game\units\instinct\Instinct_LaserStart.wav","True","0","441126","0","441088"
"Resources\sounds\sfx\menu\bwv_mechanical_stamp_02.wav","True","0","148134","0","148096"
"Resources\sounds\sfx\menu\cinematic_hit_explosion_05.wav","True","0","185638","0","185600"
"Resources\sounds\sfx\menu\COUNTERelectronicblip01.wav","True","0","1318","0","1280"
"Resources\sounds\sfx\menu\unit-promoted.wav","True","0","490150","0","490112"
"Resources\sounds\sfx\menu\new\AugReceived.wav","True","0","198566","0","198528"
"Resources\sounds\sfx\menu\new\BOOTCAMP_CLICK.wav","True","0","28582","0","28544"
"Resources\sounds\sfx\menu\new\BOOTCAMP_DIALOG_DISSAPEAR.wav","True","0","39846","0","39808"
"Resources\sounds\sfx\menu\new\BOOTCAMP_DIALOG_POPUP.wav","True","0","97190","0","97152"
"Resources\sounds\sfx\menu\new\BOOTCAMP_DIALOG_POPUP_V3.wav","True","0","50726","0","50688"
"Resources\sounds\sfx\menu\new\BOOTCAMP_ENEMY_PRESENT.wav","True","0","191910","0","191872"
"Resources\sounds\sfx\menu\new\BOOTCAMP_INTRO.wav","True","0","194086","0","194048"
"Resources\sounds\sfx\menu\new\BOOTCAMP_OBJECTIVE_COMPLETE.wav","True","0","76838","0","76800"
"Resources\sounds\sfx\menu\new\BOOTCAMP_UNIT_PRESENT.wav","True","0","160422","0","160384"
"Resources\sounds\sfx\menu\new\BOOTCAMP_WOOSH.wav","True","0","219302","0","219264"
"Resources\sounds\sfx\menu\new\BUY_DEFAULT.wav","True","0","126502","0","126464"
"Resources\sounds\sfx\menu\new\BUY_VIP.wav","True","0","111270","0","111232"
"Resources\sounds\sfx\menu\new\CARD.wav","True","0","19494","0","19456"
"Resources\sounds\sfx\menu\new\CARD_RETURN.wav","True","0","10790","0","10752"
"Resources\sounds\sfx\menu\new\CARD_REWARD.wav","True","0","18854","0","18816"
"Resources\sounds\sfx\menu\new\CLAIM_DAILY_ASSIGNMENTS_MONO.wav","True","0","16294","0","16256"
"Resources\sounds\sfx\menu\new\CLICK_V1.wav","True","0","11174","0","11136"
"Resources\sounds\sfx\menu\new\COINS_V1.wav","True","0","174374","0","174336"
"Resources\sounds\sfx\menu\new\CONGRATULATIONS_SCREEN_BOOTCAMP.wav","True","0","122278","0","122240"
"Resources\sounds\sfx\menu\new\COUNTDOWN_BEEP_V1.wav","True","0","11046","0","11008"
"Resources\sounds\sfx\menu\new\CrateOpen.wav","True","0","143398","0","143360"
"Resources\sounds\sfx\menu\new\DAILY_ASSIGNMENTS_MONO.wav","True","0","205350","0","205312"
"Resources\sounds\sfx\menu\new\Dismantle.wav","True","0","94118","0","94080"
"Resources\sounds\sfx\menu\new\DOGTAG_GAIN.wav","True","0","78758","0","78720"
"Resources\sounds\sfx\menu\new\DOGTAG_LOST.wav","True","0","115622","0","115584"
"Resources\sounds\sfx\menu\new\INVASION_DOGTAG_LOST.wav","True","0","245926","0","245888"
"Resources\sounds\sfx\menu\new\ODMENA_OBECNE_V1.wav","True","0","108710","0","108672"
"Resources\sounds\sfx\menu\new\openlootbox-ending-itemcompleted.wav","True","0","378406","0","378368"
"Resources\sounds\sfx\menu\new\openlootbox-ending-legendary.wav","True","0","280870","0","280832"
"Resources\sounds\sfx\menu\new\openlootbox.wav","True","0","172838","0","172800"
"Resources\sounds\sfx\menu\new\OPONENT_FOUND_V1.wav","True","0","217254","0","217216"
"Resources\sounds\sfx\menu\new\OPONENT_SEARCH.wav","True","0","934","0","896"
"Resources\sounds\sfx\menu\new\Promoted.wav","True","0","212006","0","211968"
"Resources\sounds\sfx\menu\new\RANK_UP.wav","True","0","307238","0","307200"
"Resources\sounds\sfx\menu\new\RESULT_COUNTER_BEEP.wav","True","0","12070","0","12032"
"Resources\sounds\sfx\menu\new\RESULT_SCREEN_FLASH.wav","True","0","12838","0","12800"
"Resources\sounds\sfx\menu\new\Reward.wav","True","0","139174","0","139136"
"Resources\sounds\sfx\menu\new\STAR.wav","True","0","115622","0","115584"
"Resources\sounds\sfx\menu\new\Unit_Promoted.wav","True","0","150822","0","150784"
"Resources\sounds\sfx\menu\new\UNLOCK_V2.wav","True","0","56102","0","56064"
"Resources\sounds\sfx\menu\new\UPGRADE.wav","True","0","65702","0","65664"
"Resources\sounds\sfx\menu\new\UPGRADE_ACTIVATE.wav","True","0","67878","0","67840"
"Resources\sounds\sfx\menu\new\WEAPON_EQUIP_CLICK_V1.wav","True","0","36134","0","36096"
"Resources\sounds\sfx\menu\new\unused\BATTLE_REWARDS_WOOSH.wav","True","0","153638","0","153600"
"Resources\sounds\sfx\menu\new\unused\CLICK_V2.wav","True","0","11174","0","11136"
"Resources\sounds\sfx\menu\new\unused\CLICK_V3.wav","True","0","12070","0","12032"
"Resources\sounds\sfx\menu\new\unused\CLICK_V4.wav","True","0","12070","0","12032"
"Resources\sounds\sfx\menu\new\unused\CLICK_V5.wav","True","0","12070","0","12032"
"Resources\sounds\sfx\menu\new\unused\COINS_V2.wav","True","0","126630","0","126592"
"Resources\sounds\sfx\menu\new\unused\COUNTDOWN_BEEP_V2.wav","True","0","3622","0","3584"
"Resources\sounds\sfx\menu\new\unused\COUNTDOWN_BEEP_V3.wav","True","0","15014","0","14976"
"Resources\sounds\sfx\menu\new\unused\OPONENT_FOUND_V2.wav","True","0","167206","0","167168"
"Resources\sounds\sfx\menu\new\unused\UNLOCK_V1.wav","True","0","54182","0","54144"
"Resources\sounds\sfx\menu\new\unused\WEAPON_EQUIP_CLICK_V2.wav","True","0","29350","0","29312"
"Resources\sounds\sfx\menu\new\unused\WEAPON_EQUIP_CLICK_V3.wav","True","0","43814","0","43776"
"Resources\sounds\sfx\vehicles\new\backbone\BackBoneDeath.wav","True","0","86694","0","86656"
"Resources\sounds\sfx\vehicles\new\backbone\BackBoneReachTarget.wav","True","0","117542","0","117504"
"Resources\sounds\sfx\vehicles\new\buggy\BUGGY_DEATH.wav","True","0","80678","0","80640"
"Resources\sounds\sfx\vehicles\new\buggy\BUGGY_ENGINE LOOP.wav","True","0","443046","0","443008"
"Resources\sounds\sfx\vehicles\new\buggy\BUGGY_START.wav","True","0","453030","0","452992"
"Resources\sounds\sfx\vehicles\new\bunker\Bunker_Death.wav","True","0","197542","0","197504"
"Resources\sounds\sfx\vehicles\new\bunker\Bunker_Spawn.wav","True","0","441126","0","441088"
"Resources\sounds\sfx\vehicles\new\cobra\COBRA_DEATH.wav","True","0","99366","0","99328"
"Resources\sounds\sfx\vehicles\new\cobra\COBRA_ENGINE_LOOP.wav","True","0","387750","0","387712"
"Resources\sounds\sfx\vehicles\new\cobra\COBRA_MEDKIT_DROP.wav","True","0","31654","0","31616"
"Resources\sounds\sfx\vehicles\new\cobra\COBRA_MEDKIT_PICKUP.wav","True","0","66854","0","66816"
"Resources\sounds\sfx\vehicles\new\cobra\COBRA_START.wav","True","0","266406","0","266368"
"Resources\sounds\sfx\vehicles\new\drone\DRONE_CRIT.wav","True","0","56870","0","56832"
"Resources\sounds\sfx\vehicles\new\drone\DRONE_DEATH.wav","True","0","204070","0","204032"
"Resources\sounds\sfx\vehicles\new\drone\DRONE_ENGINE_LOOP.wav","True","0","296742","0","296704"
"Resources\sounds\sfx\vehicles\new\drone\DRONE_START.wav","True","0","307238","0","307200"
"Resources\sounds\sfx\vehicles\new\exo\EXO_LAND.wav","True","0","113062","0","113024"
"Resources\sounds\sfx\vehicles\new\exo\EXO_ROCKET.wav","True","0","28070","0","28032"
"Resources\sounds\sfx\vehicles\new\exo\EXO_STEP.wav","True","0","157478","0","157440"
"Resources\sounds\sfx\vehicles\new\humvee\HUMVEE_DEATH.wav","True","0","110886","0","110848"
"Resources\sounds\sfx\vehicles\new\humvee\HUMVEE_ENGINE_LOOP.wav","True","0","388902","0","388864"
"Resources\sounds\sfx\vehicles\new\humvee\HUMVEE_START.wav","True","0","395174","0","395136"
"Resources\sounds\sfx\vehicles\new\mech\crusher-walk-short.wav","True","0","163238","0","163200"
"Resources\sounds\sfx\vehicles\new\orca\ORCA_DEATH.wav","True","0","103206","0","103168"
"Resources\sounds\sfx\vehicles\new\orca\ORCA_ENGINE_LOOP.wav","True","0","375078","0","375040"
"Resources\sounds\sfx\vehicles\new\orca\ORCA_START.wav","True","0","271014","0","270976"
"Resources\sounds\sfx\vehicles\new\predator\PREDATOR_DEATH.wav","True","0","102566","0","102528"
"Resources\sounds\sfx\vehicles\new\predator\PREDATOR_DEPLOY_REPAIR_DRONE.wav","True","0","61094","0","61056"
"Resources\sounds\sfx\vehicles\new\predator\PREDATOR_ENGINE_LOOP.wav","True","0","350246","0","350208"
"Resources\sounds\sfx\vehicles\new\predator\PREDATOR_START.wav","True","0","388902","0","388864"
"Resources\sounds\sfx\vehicles\new\spiderbot\SPIDERBOT_BIRTH.wav","True","0","264742","0","264704"
"Resources\sounds\sfx\vehicles\new\spiderbot\SPIDERBOT_ENGINE.wav","True","0","756262","0","756224"
"Resources\sounds\sfx\vehicles\new\spiderbot\SPIDERBOT_LAND.wav","True","0","132390","0","132352"
"Resources\sounds\sfx\vehicles\new\spiderbot\SPIDERLING_WALK.wav","True","0","33190","0","33152"
"Resources\sounds\sfx\vehicles\new\titan\TITAN_CANON_SHOT.wav","True","0","142118","0","142080"
"Resources\sounds\sfx\vehicles\new\titan\TITAN_DEATH.wav","True","0","95526","0","95488"
"Resources\sounds\sfx\vehicles\new\titan\TITAN_ENGINE_LOOP.wav","True","0","404390","0","404352"
