file_id,namespace,name,full_name,base_type
-13149264,"BestHTTP.Authentication","DigestStore","BestHTTP.Authentication.DigestStore","System.Object"
-1639314125,"","<FindBest>c__AnonStorey0","BestHTTP.Authentication.DigestStore/<FindBest>c__AnonStorey0","System.Object"
-162517957,"BestHTTP.Caching","HTTPCacheFileInfo","BestHTTP.Caching.HTTPCacheFileInfo","System.Object"
2030483058,"BestHTTP.Caching","HTTPCacheFileLock","BestHTTP.Caching.HTTPCacheFileLock","System.Object"
410127542,"BestHTTP.Caching","HTTPCacheMaintananceParams","BestHTTP.Caching.HTTPCacheMaintananceParams","System.Object"
-1120530400,"BestHTTP.Caching","HTTPCacheService","BestHTTP.Caching.HTTPCacheService","System.Object"
-823258182,"","<BeginMaintainence>c__AnonStorey0","BestHTTP.Caching.HTTPCacheService/<BeginMaintainence>c__AnonStorey0","System.Object"
1265156158,"BestHTTP","ConnectionBase","BestHTTP.ConnectionBase","System.Object"
1089833415,"BestHTTP.Cookies","Cookie","BestHTTP.Cookies.Cookie","System.Object"
1123740779,"BestHTTP.Cookies","CookieJar","BestHTTP.Cookies.CookieJar","System.Object"
-295172597,"BestHTTP.Decompression.Crc","CRC32","BestHTTP.Decompression.Crc.CRC32","System.Object"
-219649342,"BestHTTP.Decompression.Zlib","Adler","BestHTTP.Decompression.Zlib.Adler","System.Object"
-785728742,"BestHTTP.Decompression.Zlib","BlockState","BestHTTP.Decompression.Zlib.BlockState","System.Enum"
685884929,"BestHTTP.Decompression.Zlib","CompressionLevel","BestHTTP.Decompression.Zlib.CompressionLevel","System.Enum"
-435487105,"BestHTTP.Decompression.Zlib","CompressionMode","BestHTTP.Decompression.Zlib.CompressionMode","System.Enum"
-754230306,"BestHTTP.Decompression.Zlib","CompressionStrategy","BestHTTP.Decompression.Zlib.CompressionStrategy","System.Enum"
432453337,"BestHTTP.Decompression.Zlib","DeflateFlavor","BestHTTP.Decompression.Zlib.DeflateFlavor","System.Enum"
1804330326,"BestHTTP.Decompression.Zlib","DeflateManager","BestHTTP.Decompression.Zlib.DeflateManager","System.Object"
-491868520,"","CompressFunc","BestHTTP.Decompression.Zlib.DeflateManager/CompressFunc","System.MulticastDelegate"
1598915159,"","Config","BestHTTP.Decompression.Zlib.DeflateManager/Config","System.Object"
-617708169,"BestHTTP.Decompression.Zlib","DeflateStream","BestHTTP.Decompression.Zlib.DeflateStream","System.IO.Stream"
-1951399618,"BestHTTP.Decompression.Zlib","FlushType","BestHTTP.Decompression.Zlib.FlushType","System.Enum"
-275442728,"BestHTTP.Decompression.Zlib","GZipStream","BestHTTP.Decompression.Zlib.GZipStream","System.IO.Stream"
1926550997,"BestHTTP.Decompression.Zlib","InfTree","BestHTTP.Decompression.Zlib.InfTree","System.Object"
813351801,"BestHTTP.Decompression.Zlib","InflateBlocks","BestHTTP.Decompression.Zlib.InflateBlocks","System.Object"
-1808641264,"","InflateBlockMode","BestHTTP.Decompression.Zlib.InflateBlocks/InflateBlockMode","System.Enum"
-1288311698,"BestHTTP.Decompression.Zlib","InflateCodes","BestHTTP.Decompression.Zlib.InflateCodes","System.Object"
-789730920,"BestHTTP.Decompression.Zlib","InflateManager","BestHTTP.Decompression.Zlib.InflateManager","System.Object"
-853584956,"","InflateManagerMode","BestHTTP.Decompression.Zlib.InflateManager/InflateManagerMode","System.Enum"
58904716,"BestHTTP.Decompression.Zlib","InternalConstants","BestHTTP.Decompression.Zlib.InternalConstants","System.Object"
-2008884743,"BestHTTP.Decompression.Zlib","InternalInflateConstants","BestHTTP.Decompression.Zlib.InternalInflateConstants","System.Object"
260521679,"BestHTTP.Decompression.Zlib","SharedUtils","BestHTTP.Decompression.Zlib.SharedUtils","System.Object"
1920902380,"BestHTTP.Decompression.Zlib","StaticTree","BestHTTP.Decompression.Zlib.StaticTree","System.Object"
-326297718,"BestHTTP.Decompression.Zlib","ZTree","BestHTTP.Decompression.Zlib.ZTree","System.Object"
1016098206,"BestHTTP.Decompression.Zlib","ZlibBaseStream","BestHTTP.Decompression.Zlib.ZlibBaseStream","System.IO.Stream"
2043062715,"","StreamMode","BestHTTP.Decompression.Zlib.ZlibBaseStream/StreamMode","System.Enum"
1101397263,"BestHTTP.Decompression.Zlib","ZlibCodec","BestHTTP.Decompression.Zlib.ZlibCodec","System.Object"
793312754,"BestHTTP.Decompression.Zlib","ZlibConstants","BestHTTP.Decompression.Zlib.ZlibConstants","System.Object"
1547279791,"BestHTTP.Decompression.Zlib","ZlibException","BestHTTP.Decompression.Zlib.ZlibException","System.Exception"
55292457,"BestHTTP.Decompression.Zlib","ZlibStreamFlavor","BestHTTP.Decompression.Zlib.ZlibStreamFlavor","System.Enum"
-1988954349,"BestHTTP.Examples","AssetBundleSample","BestHTTP.Examples.AssetBundleSample","UnityEngine.MonoBehaviour"
1088085620,"","<DownloadAssetBundle>c__Iterator0","BestHTTP.Examples.AssetBundleSample/<DownloadAssetBundle>c__Iterator0","System.Object"
398378806,"","<ProcessAssetBundle>c__Iterator1","BestHTTP.Examples.AssetBundleSample/<ProcessAssetBundle>c__Iterator1","System.Object"
-621064794,"BestHTTP.Examples","CacheMaintenanceSample","BestHTTP.Examples.CacheMaintenanceSample","UnityEngine.MonoBehaviour"
1448270558,"","DeleteOlderTypes","BestHTTP.Examples.CacheMaintenanceSample/DeleteOlderTypes","System.Enum"
965785853,"BestHTTP.Examples","CodeBlocks","BestHTTP.Examples.CodeBlocks","System.Object"
-215802266,"BestHTTP.Examples","GUIHelper","BestHTTP.Examples.GUIHelper","System.Object"
-1276756210,"BestHTTP.Examples","GUIMessageList","BestHTTP.Examples.GUIMessageList","System.Object"
-767322066,"BestHTTP.Examples","LargeFileDownloadSample","BestHTTP.Examples.LargeFileDownloadSample","UnityEngine.MonoBehaviour"
999495312,"BestHTTP.Examples","TextureDownloadSample","BestHTTP.Examples.TextureDownloadSample","UnityEngine.MonoBehaviour"
-1346709540,"BestHTTP.Extensions","ExceptionHelper","BestHTTP.Extensions.ExceptionHelper","System.Object"
-349527372,"BestHTTP.Extensions","Extensions","BestHTTP.Extensions.Extensions","System.Object"
-1381740105,"","<Read>c__AnonStorey0","BestHTTP.Extensions.Extensions/<Read>c__AnonStorey0","System.Object"
2083960929,"BestHTTP.Extensions","HeaderParser","BestHTTP.Extensions.HeaderParser","BestHTTP.Extensions.KeyValuePairList"
-1737441390,"BestHTTP.Extensions","HeaderValue","BestHTTP.Extensions.HeaderValue","System.Object"
-1434839826,"BestHTTP.Extensions","HeartbeatManager","BestHTTP.Extensions.HeartbeatManager","System.Object"
-381030305,"BestHTTP.Extensions","IHeartbeat","BestHTTP.Extensions.IHeartbeat",""
1611150970,"BestHTTP.Extensions","KeyValuePair","BestHTTP.Extensions.KeyValuePair","System.Object"
-799336102,"BestHTTP.Extensions","KeyValuePairList","BestHTTP.Extensions.KeyValuePairList","System.Object"
-356870790,"BestHTTP.Extensions","WWWAuthenticateHeaderParser","BestHTTP.Extensions.WWWAuthenticateHeaderParser","BestHTTP.Extensions.KeyValuePairList"
-487935608,"BestHTTP","FileConnection","BestHTTP.FileConnection","BestHTTP.ConnectionBase"
-647155268,"BestHTTP.Forms","HTTPFieldData","BestHTTP.Forms.HTTPFieldData","System.Object"
1762375155,"BestHTTP.Forms","HTTPFormBase","BestHTTP.Forms.HTTPFormBase","System.Object"
1518302545,"BestHTTP.Forms","HTTPFormUsage","BestHTTP.Forms.HTTPFormUsage","System.Enum"
-291375644,"BestHTTP.Forms","HTTPMultiPartForm","BestHTTP.Forms.HTTPMultiPartForm","BestHTTP.Forms.HTTPFormBase"
-685506738,"BestHTTP.Forms","HTTPUrlEncodedForm","BestHTTP.Forms.HTTPUrlEncodedForm","BestHTTP.Forms.HTTPFormBase"
-434346507,"BestHTTP.Forms","UnityForm","BestHTTP.Forms.UnityForm","BestHTTP.Forms.HTTPFormBase"
975605115,"BestHTTP","HTTPConnection","BestHTTP.HTTPConnection","BestHTTP.ConnectionBase"
-2062112335,"","RetryCauses","BestHTTP.HTTPConnection/RetryCauses","System.Enum"
-1375652548,"BestHTTP","HTTPConnectionRecycledDelegate","BestHTTP.HTTPConnectionRecycledDelegate","System.MulticastDelegate"
-478268875,"BestHTTP","HTTPConnectionStates","BestHTTP.HTTPConnectionStates","System.Enum"
1533095766,"BestHTTP","HTTPManager","BestHTTP.HTTPManager","System.Object"
-1080531075,"","<SendRequestImpl>c__AnonStorey0","BestHTTP.HTTPManager/<SendRequestImpl>c__AnonStorey0","System.Object"
1537970462,"BestHTTP","HTTPMethods","BestHTTP.HTTPMethods","System.Enum"
-1822154175,"BestHTTP","HTTPProtocolFactory","BestHTTP.HTTPProtocolFactory","System.Object"
-256285588,"BestHTTP","HTTPProxy","BestHTTP.HTTPProxy","System.Object"
-540650170,"BestHTTP","HTTPRange","BestHTTP.HTTPRange","System.Object"
-330130029,"BestHTTP","HTTPRequest","BestHTTP.HTTPRequest","System.Object"
1607699258,"","<EnumerateHeaders>c__AnonStorey0","BestHTTP.HTTPRequest/<EnumerateHeaders>c__AnonStorey0","System.Object"
1411509924,"","<SendHeaders>c__AnonStorey1","BestHTTP.HTTPRequest/<SendHeaders>c__AnonStorey1","System.Object"
-1412429247,"BestHTTP","HTTPRequestStates","BestHTTP.HTTPRequestStates","System.Enum"
-1847422767,"BestHTTP","HTTPResponse","BestHTTP.HTTPResponse","System.Object"
-1733230495,"BestHTTP","HTTPUpdateDelegator","BestHTTP.HTTPUpdateDelegator","UnityEngine.MonoBehaviour"
1140621916,"BestHTTP","IProtocol","BestHTTP.IProtocol",""
1793143647,"BestHTTP.JSON","Json","BestHTTP.JSON.Json","System.Object"
1159575098,"BestHTTP.Logger","DefaultLogger","BestHTTP.Logger.DefaultLogger","System.Object"
-1303825167,"BestHTTP.Logger","ILogger","BestHTTP.Logger.ILogger",""
1036059735,"BestHTTP.Logger","Loglevels","BestHTTP.Logger.Loglevels","System.Enum"
1312104343,"BestHTTP","OnBeforeRedirectionDelegate","BestHTTP.OnBeforeRedirectionDelegate","System.MulticastDelegate"
1535305809,"BestHTTP","OnDownloadProgressDelegate","BestHTTP.OnDownloadProgressDelegate","System.MulticastDelegate"
2142773512,"BestHTTP","OnHeaderEnumerationDelegate","BestHTTP.OnHeaderEnumerationDelegate","System.MulticastDelegate"
-419913566,"BestHTTP","OnRequestFinishedDelegate","BestHTTP.OnRequestFinishedDelegate","System.MulticastDelegate"
879249015,"BestHTTP","OnUploadProgressDelegate","BestHTTP.OnUploadProgressDelegate","System.MulticastDelegate"
1761469194,"BestHTTP.PlatformSupport.TcpClient.General","TcpClient","BestHTTP.PlatformSupport.TcpClient.General.TcpClient","System.Object"
-940842600,"","<Connect>c__AnonStorey0","BestHTTP.PlatformSupport.TcpClient.General.TcpClient/<Connect>c__AnonStorey0","System.Object"
-1784426095,"","Properties","BestHTTP.PlatformSupport.TcpClient.General.TcpClient/Properties","System.Enum"
-2095485484,"BestHTTP.ServerSentEvents","EventSource","BestHTTP.ServerSentEvents.EventSource","System.Object"
1734487458,"BestHTTP.ServerSentEvents","EventSourceResponse","BestHTTP.ServerSentEvents.EventSourceResponse","BestHTTP.HTTPResponse"
-2054839440,"BestHTTP.ServerSentEvents","Message","BestHTTP.ServerSentEvents.Message","System.Object"
975830057,"BestHTTP.ServerSentEvents","OnErrorDelegate","BestHTTP.ServerSentEvents.OnErrorDelegate","System.MulticastDelegate"
-238160410,"BestHTTP.ServerSentEvents","OnEventDelegate","BestHTTP.ServerSentEvents.OnEventDelegate","System.MulticastDelegate"
378383179,"BestHTTP.ServerSentEvents","OnGeneralEventDelegate","BestHTTP.ServerSentEvents.OnGeneralEventDelegate","System.MulticastDelegate"
