asset,status,samples,channels,frequency,length_seconds,load_state
"Assets/Resources/sounds/sfx/vehicles/new/spiderbot/SPIDERBOT_LAND.wav",ok,66176,1,44100,1.501,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/spiderbot/SPIDERLING_WALK.wav",ok,16576,1,44100,0.376,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/titan/TITAN_CANON_SHOT.wav",ok,71040,1,42375,1.676,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/titan/TITAN_DEATH.wav",ok,47744,1,38156,1.251,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/titan/TITAN_ENGINE_LOOP.wav",ok,202176,1,36750,5.501,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/titan/TITAN_START.wav",ok,198272,1,36046,5.501,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/vtol/VTOL_DEATH.wav",ok,100672,1,40265,2.500,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/vtol/VTOL_ENGINE.wav",ok,478912,1,48000,9.977,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/vtol/VTOL_START.wav",ok,186048,1,48000,3.876,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/warper/Laser Noise_05(warp)-short.wav",ok,70464,1,96000,0.734,Loaded
"Assets/Resources/sounds/sfx/weapons/assaultrifle/SHOT_ASSAULT_1.wav",ok,56896,1,48000,1.185,Loaded
"Assets/Resources/sounds/sfx/weapons/assaultrifle/SHOT_ASSAULT_2.wav",ok,57088,1,48000,1.189,Loaded
"Assets/Resources/sounds/sfx/weapons/assaultrifle/SHOT_ASSAULT_3.wav",ok,57344,1,48000,1.195,Loaded
"Assets/Resources/sounds/sfx/weapons/assaultrifle/SHOT_ASSAULT_4.wav",ok,56512,1,48000,1.177,Loaded
"Assets/Resources/sounds/sfx/weapons/assaultrifle/SHOT_ASSAULT_5.wav",ok,57664,1,48000,1.201,Loaded
"Assets/Resources/sounds/sfx/weapons/assaultrifle/SHOT_ASSAULT_6.wav",ok,57664,1,48000,1.201,Loaded
"Assets/Resources/sounds/sfx/weapons/grenade/coctail_impact.wav",ok,82752,1,48000,1.724,Loaded
"Assets/Resources/sounds/sfx/weapons/grenade/coctail_throw.wav",ok,5760,1,38156,0.151,Loaded
"Assets/Resources/sounds/sfx/weapons/grenade/grenade_throw.wav",ok,25600,1,48000,0.533,Loaded
"Assets/Resources/sounds/sfx/weapons/grenade/throw.wav",ok,9536,1,44100,0.216,Loaded
"Assets/Resources/sounds/sfx/weapons/handgun/SHOT_PISTOL_1.wav",ok,49216,1,48000,1.025,Loaded
"Assets/Resources/sounds/sfx/weapons/handgun/SHOT_PISTOL_2.wav",ok,50176,1,48000,1.045,Loaded
"Assets/Resources/sounds/sfx/weapons/handgun/SHOT_PISTOL_3.wav",ok,91456,1,48000,1.905,Loaded
"Assets/Resources/sounds/sfx/weapons/handgun/SHOT_PISTOL_4.wav",ok,87936,1,48000,1.832,Loaded
"Assets/Resources/sounds/sfx/weapons/handgun/SHOT_PISTOL_5.wav",ok,57152,1,48000,1.191,Loaded
